City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Long,Wind Speed
tezu,35,IN,1607708665,47,63.84,27.92,96.17,2.91
burg,79,DE,1607708665,94,32.0,51.83,14.15,1.99
sukaraja,100,ID,1607708665,88,75.51,-7.45,108.19,1.28
broome,1,US,1607708666,65,46.99,42.25,-75.83,5.82
steamboat springs,90,US,1607708456,92,24.8,40.48,-106.83,6.96
mocuba,100,MZ,1607708666,85,76.59,-16.84,36.99,2.77
kathmandu,75,NP,1607708530,87,55.4,27.72,85.32,2.24
gold coast,90,AU,1607708498,93,64.0,-28.0,153.43,12.75
telchac,5,MX,1607708667,51,80.6,21.2,-89.27,17.22
koungheul,1,SN,1607708667,13,94.39,13.98,-14.8,6.96
saint-louis,0,SN,1607708667,18,93.2,16.33,-15.0,5.95
trofors,0,NO,1607708668,80,30.2,65.53,13.41,2.24
mount isa,72,AU,1607708668,69,75.2,-20.73,139.5,8.05
mopti,60,ML,1607708668,14,84.83,14.67,-4.0,11.14
yeppoon,98,AU,1607708668,60,73.4,-23.13,150.73,8.05
banes,40,CU,1607708669,61,82.4,20.96,-75.72,12.75
tessalit,79,ML,1607708669,18,69.04,20.2,1.01,11.07
calvinia,42,ZA,1607708669,69,56.98,-31.47,19.78,10.92
gallup,1,US,1607708669,69,37.4,35.53,-108.74,20.8
salsomaggiore terme,90,IT,1607708670,100,42.01,44.81,9.98,3.36
eyl,0,SO,1607708670,62,76.66,7.98,49.82,20.42
laguna,1,US,1607708671,81,48.0,38.42,-121.42,1.5
esmeraldas,75,BR,1607708671,65,80.6,-19.76,-44.31,4.7
isabela,57,PH,1607708671,80,79.47,6.71,121.97,0.94
geilo,100,NO,1607708672,95,24.01,60.53,8.21,5.14
beyneu,0,KZ,1607708314,93,20.41,45.32,55.2,12.57
dharchula,0,IN,1607708576,43,48.61,29.85,80.53,6.8
vulcan,98,RO,1607708672,87,35.24,45.38,23.27,2.21
portland,75,US,1607708271,81,43.0,45.52,-122.68,4.7
dumas,90,US,1607708673,69,39.0,35.87,-101.97,10.29
rio grande,40,BR,1607708673,30,98.6,-32.03,-52.1,17.22
hofn,90,IS,1607708673,81,46.4,64.25,-15.21,23.04
clyde river,90,CA,1607708673,92,10.4,70.47,-68.59,2.24
redwater,90,US,1607708674,68,64.4,33.36,-94.25,9.17
vydrino,100,RU,1607708674,91,11.3,51.48,104.85,4.85
valledupar,86,CO,1607708674,50,87.08,10.46,-73.25,9.46
vila do maio,40,CV,1607708674,61,78.8,15.13,-23.22,14.99
shahreza,0,IR,1607708674,70,39.51,32.03,51.88,2.82
mitu,66,CO,1607708675,82,82.92,1.2,-70.17,4.61
faya,0,SA,1607708675,82,59.0,18.39,42.45,4.7
mount gambier,67,AU,1607708363,81,51.8,-37.83,140.77,9.17
nipawin,90,CA,1607708676,92,17.6,53.37,-104.0,8.05
zarubino,80,RU,1607708676,83,25.66,42.63,131.09,8.14
victoria,54,HK,1607708429,87,70.0,22.29,114.16,3.36
sladkovo,5,RU,1607708676,93,9.68,55.53,70.34,11.3
haines junction,87,CA,1607707999,84,8.6,60.75,-137.51,5.82
balikpapan,89,ID,1607708677,90,77.41,-1.27,116.83,1.95
spirit river,97,CA,1607708677,100,14.0,55.78,-118.84,6.93
aleksandrov gay,72,RU,1607708677,96,11.84,50.15,48.57,9.66
manokwari,6,ID,1607708678,75,80.02,-0.87,134.08,4.54
umea,90,SE,1607708678,92,28.4,63.83,20.26,8.05
riberalta,75,BO,1607708678,70,84.2,-10.98,-66.1,11.41
axim,50,GH,1607708678,83,80.02,4.87,-2.24,6.87
la tuque,100,CA,1607708679,92,28.4,47.43,-72.78,4.7
aksarka,99,RU,1607708679,95,17.04,66.56,67.8,11.39
bathsheba,75,BB,1607708388,70,84.2,13.22,-59.52,18.34
kutahya,75,TR,1607708679,70,42.8,39.42,29.98,2.24
northampton,29,US,1607708546,76,51.01,40.88,-75.25,1.01
mazagao,40,BR,1607708680,52,93.2,-0.12,-51.29,12.75
kupang,95,ID,1607708680,76,81.18,-10.17,123.58,2.19
zaysan,0,KZ,1607708409,80,-0.85,47.47,84.87,2.53
shieli,0,KZ,1607708680,92,21.11,44.17,66.75,8.61
prince rupert,1,CA,1607708359,81,41.0,54.32,-130.32,4.7
luanda,75,AO,1607708663,69,80.6,-8.84,13.23,6.93
katobu,65,ID,1607708681,91,76.84,-4.94,122.53,1.05
muisne,40,EC,1607708682,74,86.0,0.6,-80.03,9.17
malbug,8,PH,1607708682,78,81.45,9.73,123.34,4.34
jonesboro,20,US,1607708682,71,62.01,35.84,-90.7,10.29
abu samrah,21,SY,1607708507,65,54.61,35.3,37.18,6.76
shirokiy,95,RU,1607708353,91,-4.45,49.76,129.52,6.71
bam,0,IR,1607708458,50,48.04,29.11,58.36,2.46
skelleftea,75,SE,1607708372,92,30.0,64.75,20.95,5.82
paita,0,PE,1607708683,57,80.6,-5.09,-81.11,14.99
tairua,73,NZ,1607708684,71,57.0,-37.02,175.85,8.99
craig,90,US,1607708684,79,26.6,40.52,-107.55,9.17
kristiansund,0,NO,1607708685,55,39.2,63.11,7.73,11.41
hare bay,100,CA,1607708685,100,33.8,48.85,-54.01,5.82
grafton,1,US,1607708685,70,48.0,42.21,-71.69,14.99
roald,0,NO,1607708348,64,39.2,62.58,6.13,6.93
padang,100,ID,1607708686,70,77.97,-0.95,100.35,4.12
fairbanks,20,US,1607708620,75,-11.99,64.84,-147.72,2.35
tarakan,0,ID,1607708686,76,81.12,3.3,117.63,2.39
salinas,20,US,1607708686,81,51.8,36.68,-121.66,4.7
umtata,20,ZA,1607708687,82,68.0,-31.59,28.78,9.17
ranghulu,0,CN,1607708687,81,3.63,46.65,124.87,6.87
berkakit,97,RU,1607708687,82,-35.54,56.58,124.77,3.89
vuktyl,88,RU,1607708687,95,9.9,63.86,57.31,8.3
bhubaneswar,0,IN,1607708654,83,71.6,20.23,85.83,1.79
murdochville,65,CA,1607708688,74,30.2,48.96,-65.5,3.36
comodoro rivadavia,40,AR,1607708466,27,73.4,-45.87,-67.5,29.97
cozumel,40,MX,1607708578,54,78.8,20.51,-86.95,10.29
afua,5,BR,1607708688,51,89.33,-0.16,-50.39,8.77
port blair,25,IN,1607708682,69,76.89,11.67,92.75,7.81
westport,1,US,1607708689,61,53.01,41.14,-73.36,9.17
amboasary,20,MG,1607708689,61,78.8,-25.03,46.38,24.16
pandan,17,PH,1607708689,84,80.22,14.05,124.17,6.4
sarkand,4,KZ,1607708526,74,10.15,45.41,79.92,2.42
inverness,40,GB,1607708690,100,44.01,57.48,-4.22,3.36
keansburg,2,US,1607708690,60,55.99,40.44,-74.13,7.0
fukue,52,JP,1607708690,66,57.69,32.69,128.84,11.21
pianoro,75,IT,1607708690,93,44.6,44.39,11.34,2.24
great yarmouth,75,GB,1607708477,93,46.4,52.61,1.73,1.12
kavaratti,0,IN,1607708400,74,82.71,10.57,72.64,7.38
rybnoye,0,RU,1607708691,88,17.46,54.73,39.51,6.6
sobolevo,77,RU,1607708532,92,24.31,54.43,31.9,11.39
abrego,70,CO,1607708692,66,73.69,8.08,-73.22,5.14
guiyang,90,CN,1607708692,100,41.0,26.58,106.72,6.71
puro,26,PH,1607708692,85,80.02,12.48,123.38,6.73
lamu,1,KE,1607708693,74,82.4,-2.27,40.9,6.93
parker,90,US,1607708639,87,60.8,32.77,-97.8,6.93
muzhi,100,RU,1607708693,93,19.63,65.37,64.67,7.0
revuca,90,SK,1607708693,100,34.0,48.68,20.12,1.12
kitakata,94,JP,1607708693,85,39.99,37.65,139.87,1.5
abu dhabi,20,AE,1607708563,46,73.4,24.47,54.37,6.93
nova olimpia,72,BR,1607708694,77,82.78,-14.8,-57.29,7.27
acapulco,20,MX,1607708622,69,82.4,16.86,-99.89,5.82
baie-comeau,90,CA,1607708605,92,28.4,49.22,-68.15,5.82
da nang,75,VN,1607708695,88,73.4,16.07,108.22,5.06
egvekinot,100,RU,1607708695,88,-3.01,66.32,-179.17,12.86
opuwo,0,NA,1607708695,22,77.25,-18.06,13.84,13.22
prince george,90,CA,1607708686,100,25.0,53.92,-122.75,2.24
cidreira,0,BR,1607708696,66,80.04,-30.18,-50.21,12.03
ardakan,0,IR,1607708696,81,42.8,32.31,54.02,4.7
jojoima,79,SL,1607708696,85,79.05,7.88,-10.79,2.15
usogorsk,93,RU,1607708697,95,15.22,63.41,48.69,5.73
yala,94,TH,1607708697,93,73.67,6.33,101.25,1.03
dillon,1,US,1607708600,72,66.0,34.42,-79.37,4.5
jeremoabo,0,BR,1607708697,24,95.41,-10.07,-38.48,12.77
alcacer do sal,90,PT,1607708698,93,61.0,38.37,-8.51,9.17
xining,64,CN,1607708698,84,19.15,36.62,101.77,1.68
halifax,75,CA,1607708698,64,39.2,44.65,-63.57,9.17
andenes,0,NO,1607708699,72,34.0,69.31,16.12,6.93
lichinga,90,MZ,1607708699,100,66.2,-13.31,35.24,6.93
ozark,100,US,1607708699,92,53.01,37.02,-93.21,1.99
grand-santi,20,GF,1607708652,76,84.34,4.25,-54.38,4.21
dao,50,PH,1607708700,90,76.41,11.39,122.69,1.83
dalby,28,AU,1607708700,89,62.01,-27.18,151.27,1.99
high level,90,CA,1607708701,100,12.2,58.52,-117.14,5.82
khandyga,63,RU,1607708701,81,-42.27,62.67,135.6,0.69
saint-francois,92,FR,1607708702,87,48.99,46.42,3.91,5.82
benguela,93,AO,1607708702,75,75.63,-12.58,13.41,5.79
nizhniy tsasuchey,0,RU,1607708702,88,-2.47,50.52,115.13,6.62
maple creek,84,CA,1607708704,92,21.2,49.92,-109.48,4.7
skibbereen,75,IE,1607708705,81,44.6,51.55,-9.27,19.46
kunda,100,IN,1607708706,41,72.57,25.72,81.52,6.08
buala,75,SB,1607708707,76,79.63,-8.14,159.59,4.25
siavonga,83,ZM,1607708707,68,81.36,-16.54,28.71,9.22
kenai,1,US,1607708679,85,19.99,60.55,-151.26,6.93
semey,96,KZ,1607708708,93,0.23,50.41,80.23,4.56
sitka,40,US,1607708269,87,35.6,57.05,-135.33,3.36
danjiangkou,17,CN,1607708709,61,43.88,32.54,111.51,0.07
tautira,75,PF,1607708709,74,82.0,-17.73,-149.15,2.24
saint anthony,40,US,1607708710,74,35.01,45.02,-93.22,12.75
hearst,83,CA,1607708710,78,14.0,49.68,-83.67,5.82
antofagasta,20,CL,1607708620,64,72.0,-23.65,-70.4,13.87
marrakesh,29,MA,1607708544,40,73.4,31.63,-8.01,2.24
mirnyy,72,RU,1607708711,72,-43.6,62.54,113.96,4.47
wanning,83,CN,1607708275,91,72.55,18.8,110.4,6.42
general roca,0,AR,1607708712,23,77.0,-39.03,-67.58,9.17
bentiu,78,SS,1607708712,23,83.53,9.23,29.83,0.25
manggar,100,ID,1607708713,82,80.78,-2.88,108.27,7.85
